referencia;variante;descricao;preco_unitario;porcentagem_imposto;pagina
LM2105;;LED 1W ROSA 127V/220V;5.40;6.50;35
LM2104;;LED 1W AMBAR 127V/220V;5.40;6.50;35
LM2106;;LED 1W ROXA 127V/220V;5.40;6.50;35
LM279;;LED 6W VERMELHA 127V/220V;8.20;6.50;35
LM280;;LED 6W VERDE 127V/220V;8.20;6.50;35
LM281;;LED 6W AZUL 127V/220V;8.20;6.50;35
LM754;;LED 6W ROSA 127V/220V;8.20;6.50;35
LM282;;LED 6W AMBAR 127V/220V;8.20;6.50;35
LM509;;LED 2W 2700K 127V;8.25;6.50;35
LM511;;LED 2W 6000K 127V;8.25;6.50;36
LM510;;LED 2W 2700K 220V;8.25;6.50;36
LM512;;LED 2W 6000K 220V;8.25;6.50;36
LM177;;LED 3W 2700K 127V;13.99;6.50;36
LM2989;;LED 3W 3000K 127V;13.25;6.50;36
LM1193;;LED 3W 4000K 127V;13.15;6.50;36
LM178;;LED 3W 6000K 127V;13.15;6.50;36
LM175;;LED 3W 2700K 220V;13.15;6.50;36
LM2988;;LED 3W 3000K 220V;13.25;6.50;36
LM1194;;LED 3W 4000K 220V;13.15;6.50;36
LM176;;LED 3W 6000K 220V;13.15;6.50;36
LM1452;;LED 4,8W 2700K 127/220V;12.10;6.50;36
LM2990;;LED 4,8W 3000K 127/220V;12.10;6.50;36
LM1453;;LED 4,8W 4000K 127/220V;12.10;6.50;36
LM1454;;LED 4,8W 6000K 127/220V;12.10;6.50;36
LM1464;;COB LED 2,5W 127V 2700K;10.20;6.50;36
LM1466;;COB LED 2,5W 127V 6500K;10.20;6.50;36
LM1465;;COB LED 2,5W 220V 2700K;10.75;6.50;36
LM1467;;COB LED 2,5W 220V 6500K;5.20;6.50;36
LM1468;;COB LED 4W 127V 2700K;12.50;6.50;36
LM1470;;COB LED 4W 127V 6500K;12.50;6.50;36
LM1469;;COB LED 4W 220V 2700K;12.50;6.50;36
LM1471;;COB LED 4W 220V 6500K;7.65;6.50;36
LM305;;PALITO LED 5W 2700K 127/220V;17.50;6.50;36
LM306;;PALITO LED 8W 2700K 127/220V;26.45;6.50;36
LM698;;LED LEITOSA B35 E14 4,5W 3000K 127/220V;7.85;6.50;36
LM1455;;LED LEITOSA E14 4,5W 4000K 127/220V;7.70;6.50;36
LM644;;LED LEITOSA E14 4,5W 6000K 127/220V;7.85;6.50;36
LM968;;LED CRISTAL E14 4,5W 2700K 127/220V;7.85;6.50;36
LM969;;LED CRISTAL E14 4,5W 4000K 127/220V;7.85;6.50;36
LM970;;LED CRISTAL E14 4,5W 6000K 127/220V;7.70;6.50;36
LM185;;LED LEITOSA E14 E27 6W 2700K 127/220V;8.65;6.50;36
LM964;;LED E14+E27 6W 4000K LEITOSO 127/220V;8.65;6.50;36
LM296;;LED LEITOSA E14+E27 6W 6000K 127/220V;8.65;6.50;36
LM082;;LED E14+E27 6W 2700K 127/220V;8.65;6.50;36
LM963;;LED E14+E27 6W 4000K CRISTAL 127/220V;8.65;6.50;36
LM167;;LED E14+E27 6W 6000K 127/220V;8.65;6.50;36
LM181;;BALLOON LED 8W 2700K 127/220V;12.50;6.50;36
