referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
6563;;Arandela Eclisse GG;"Largura: 80cm | Altura: 80cm | Profundidade: 34cm
Base: G-9 04 -Lâmpadas Halopin
Material: Alumínio
Cores: Sólidas, Automotivas e Especiais";775.21;16.60;4
6566;;Plafon Eclisse Light P;"Largura: 35cm| Altura: 27cm| Profundidade: 35cm
Fita de Led: 1,8W | 3.000K ou 4.000K | 180 lm | 127V ou 220V
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio e Acrílico
Cores: Sólidas, Automotivas e Especiais";367.59;16.60;5
6568;;Plafon Eclisse Light G;"Largura: 56cm| Altura: 35cm| Profundidade: 56cm
Fita de Led: 1,8W | 3.000K ou 4.000K | 180 lm | 127V ou 220V
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio e Acrílico
Cores: Sólidas, Automotivas e Especiais";543.88;16.60;5
6569;;Plafon Eclisse Light GG;"Largura: 80cm| Altura: 45cm| Profundidade: 80cm
Fita de Led: 1,8W | 3.000K ou 4.000K | 180 lm | 127V ou 220V
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio e Acrílico
Cores: Sólidas, Automotivas e Especiais";1010.91;16.60;5
6570;;Pendente Eclisse Light P;"Largura: 35cm| Altura: 39cm| Profundidade: 35cm
Fita de Led: 1,8W | 3.000K ou 4.000K | 180 lm | 127V ou 220V
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio e Acrílico (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais";482.68;16.60;5
6571;;Pendente Eclisse In P;"Largura: 35cm | Altura: 34cm | Profundidade: 35cm
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais";482.68;16.60;5
6572;;Pendente Eclisse Duo G;"Largura: 56cm | Altura: 57cm | Profundidade: 56cm
Base: G-9 04 -Lâmpadas Halopin
Material: Alumínio (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais";887.99;16.60;5
6573;;Pendente Eclisse Light G;"Largura: 56cm| Altura: 56cm| Profundidade: 56cm
Fita de Led: 1,8W | 3.000K ou 4.000K | 180 lm | 127V ou 220V
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio e Acrílico (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais";760.71;16.60;5
6574;;Pendente Eclisse In G;"Largura: 56cm | Altura: 50cm | Profundidade: 56cm
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais";760.71;16.60;5
6575;;Pendente Eclisse Light GG;"Largura: 80cm| Altura: 70cm| Profundidade: 80cm
Fita de Led: 1,8W | 3.000K ou 4.000K | 180 lm | 127V ou 220V
Base: G-9 04 -Lâmpadas Halopin
Material: Alumínio e Acrílico (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais";1046.19;16.60;5
