referencia;variante;descricao;preco_unitario;porcentagem_imposto;pagina
LM3153;;TINY MAG KIT SOBREPOR TETO-PAREDE CONECTOR/CONDUTOR/HASTE PT - MAX 24V;77.15;9.75;3
LM3148;;TINY MAG TRILHO DE SOBREPOR MAGNETICO BC 1M MAX. 24V;54.45;9.75;3
LM3149;;TINY MAG TRILHO DE SOBREPOR MAGNETICO BC 2M MAX. 24V;111.65;9.75;3
LM3150;;TINY MAG TRILHO DE SOBREPOR MAGNETICO BC 3M MAX. 24V;171.35;9.75;3
LM3169;;TINY MAG CONECTOR DE DRIVER P/ TRILHO MAGNETICO BC - MAX 24V;18.15;9.75;3
LM3152;;TINY MAG KIT SOBREPOR PAREDE-PAREDE CONECTOR/CONDUTOR/HASTE BC - MAX 24V;81.35;9.75;3
LM3154;;TINY MAG KIT SOBREPOR TETO-PAREDE CONECTOR/CONDUTOR/HASTE BC - MAX 24V;77.15;9.75;3
LM3155;;TINY MAG KIT PENDENTE PARA TRILHO DE SOBREPOR MAGNETICO CABO: 2M;93.60;9.75;3
LM3156;;TINY MAG TRILHO DE EMBUTIR MAGNETICO PT 1M MAX. 24V;66.20;9.75;3
LM3157;;TINY MAG TRILHO DE EMBUTIR MAGNETICO PT 2M MAX. 24V;132.95;9.75;3
LM3158;;TINY MAG TRILHO DE EMBUTIR MAGNETICO PT 3M MAX. 24V;203.60;9.75;3
LM3162;;TINY MAG KIT EMBUTIR PAREDE-PAREDE CONECTOR/CONDUTOR/HASTE PT - MAX 24V;77.15;9.75;3
LM3164;;TINY MAG KIT EMBUTIR TETO-PAREDE CONECTOR/CONDUTOR/HASTE PT - MAX 24V;77.15;9.75;3
LM3159;;TINY MAG TRILHO DE EMBUTIR MAGNETICO BC 1M MAX. 24V;66.20;9.75;3
LM3160;;TINY MAG TRILHO DE EMBUTIR MAGNETICO BC 2M MAX. 24V;132.95;9.75;3
LM3161;;TINY MAG TRILHO DE EMBUTIR MAGNETICO BC 3M MAX. 24V;203.60;9.75;3
LM3163;;TINY MAG KIT EMBUTIR PAREDE-PAREDE CONECTOR/CONDUTOR/HASTE BC - MAX 24V;77.15;9.75;3
LM3165;;TINY MAG KIT EMBUTIR TETO-PAREDE CONECTOR/CONDUTOR/HASTE BC - MAX 24V;77.15;9.75;3
LM3170;;TINY MAG TRILHO PENDENTE CILINDRICO DUPLO 1M PT - MAX 24V;183.40;9.75;4
LM3171;;TINY MAG TRILHO PENDENTE CILINDRICO DUPLO 2M PT - MAX 24V;271.25;9.75;4
LM3172;;TINY MAG TRILHO PENDENTE CILINDRICO DUPLO 3M PT - MAX 24V;361.05;9.75;4
LM3173;;TINY MAG TRILHO PENDENTE CILINDRICO DUPLO 1M BC - MAX 24V;183.40;9.75;4
LM3174;;TINY MAG TRILHO PENDENTE CILINDRICO DUPLO 2M BC - MAX 24V;271.25;9.75;4
LM3175;;TINY MAG TRILHO PENDENTE CILINDRICO DUPLO 3M BC - MAX 24V;361.05;9.75;4
LM3555;;TINY MAG LUMINARIA BALL P/ TRILHO MAGNÉTICO 5W 3000K 24V IRC90 PT;127.50;9.75;4
LM3556;;TINY MAG SPOT DIFUSOR LIGHT P/ TRILHO MAGNÉTICO 10W 36° 3000K 24V IRC90 PT;174.75;9.75;4
LM3557;;TINY MAG SPOT DIFUSOR LIGHT P/ TRILHO MAGNÉTICO 10W 36° 3000K 24V IRC90 BC;174.75;9.75;4
LM3166;;"TINY MAG CONECTOR DE ENERGIA ""I"" P/ TRILHO MAGNETICO PT - MAX 24V";22.55;9.75;4
LM3167;;"TINY MAG CONECTOR DE ENERGIA ""I"" P/ TRILHO MAGNETICO BC - MAX 24V";22.55;9.75;4
LM3119;;TINY MAG SPOT P/ TRILHO MAGNETICO 1W 24° 3000K 24V IRC 90 PT;63.25;9.75;4
LM3120;;TINY MAG SPOT P/ TRILHO MAGNETICO 1W 24° 3000K 24V IRC 90 BC;63.25;9.75;4
LM3121;;TINY MAG SPOT P/ TRILHO MAGNETICO 2W 15° 3000K 24V IRC 90 PT;89.40;9.75;4
LM3122;;TINY MAG SPOT P/ TRILHO MAGNETICO 2W 15° 3000K 24V IRC 90 BC;89.40;9.75;4
LM3123;;TINY MAG SPOT P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 DOURADO;112.70;9.75;4
LM3126;;TINY MAG SPOT P/ TRILHO MAGNETICO 9W 15° 3000K 24V IRC 90 PT;177.80;9.75;4
LM3127;;TINY MAG SPOT P/ TRILHO MAGNETICO 9W 15° 3000K 24V IRC 90 BC;189.99;9.75;4
LM3128;;TINY MAG SPOT P/ TRILHO MAGNETICO 9W 15° 3000K 24V IRC 90 DOURADO;183.40;9.75;4
LM3124;;TINY MAG SPOT P/ TRILHO MAGNETICO ÂNGULO AJUSTAVEL 15°/55° 5W 3000K 24V IRC 90 PT;115.30;9.75;4
LM3125;;TINY MAG SPOT P/ TRILHO MAGNETICO ÂNGULO AJUSTAVEL 15°/55° 5W 3000K 24V IRC 90 BC;115.30;9.75;4
LM3129;;TINY MAG SPOT LATERAL P/ TRILHO MAGNETICO 15W 15° 3000K 24V IRC 90 PT;220.55;9.75;4
LM3130;;TINY MAG SPOT LATERAL P/ TRILHO MAGNETICO 15W 15° 3000K 24V IRC 90 BC;220.55;9.75;4
LM3143;;TINY MAG SPOT PENDENTE P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 PT CABO: 1M;101.45;9.75;4
LM3144;;TINY MAG SPOT PENDENTE P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 BC CABO: 1M;101.45;9.75;4
LM3131;;TINY MAG SPOT FLEXIVEL P/ TRILHO MAGNETICO 2W 15° 3000K 24V IRC 90 PT;107.85;9.75;4
LM3132;;TINY MAG SPOT FLEXIVEL P/ TRILHO MAGNETICO 2W 15° 3000K 24V IRC 90 BC;107.85;9.75;4
LM3133;;TINY MAG MODULO CONCENTRADO P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 100MM PT;103.95;9.75;4
LM3134;;TINY MAG MODULO CONCENTRADO P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 100MM BC;103.95;9.75;4
LM3135;;TINY MAG MODULO CONCENTRADO P/ TRILHO MAGNETICO 10W 15° 3000K 24V IRC 90 196MM PT;146.50;9.75;4
LM3136;;TINY MAG MODULO CONCENTRADO P/ TRILHO MAGNETICO 10W 15° 3000K 24V IRC 90 196MM BC;146.50;9.75;4
LM3137;;TINY MAG MODULO DIFUSO P/ TRILHO MAGNETICO 10W 3000K 24V IRC 90 300MM PT;86.60;9.75;4
LM3138;;TINY MAG MODULO DIFUSO P/ TRILHO MAGNETICO 10W 3000K 24V IRC 90 300MM BC;86.60;9.75;4
LM3139;;TINY MAG MODULO DIFUSO P/ TRILHO MAGNETICO 20W 3000K 24V IRC 90 600MM PT;133.35;9.75;4
LM3140;;TINY MAG MODULO DIFUSO P/ TRILHO MAGNETICO 20W 3000K 24V IRC 90 600MM BC;137.60;9.75;4
LM3141;;TINY MAG MODULO DIFUSO RECUADO P/ TRILHO MAGNETICO 6W 3000K 24V IRC 90 666MM PT;113.10;9.75;4
LM3142;;TINY MAG MODULO DIFUSO RECUADO P/ TRILHO MAGNETICO 6W 3000K 24V IRC 90 666MM BC;102.35;9.75;4
LM3097;;ESPETO DE JARDIM LED ROD 7W 3000K 127/220V BLS;38.10;9.75;4
LM3387;;ESPETO DE JARDIM LED ROD 7W 3000K 127/220V VERDE BLS;37.05;9.75;4
LM3098;;GARDEN SPOT ROD, COM BASE, LED 7W 3000K 127/220V BLS;37.05;9.75;5
LM3388;;GARDEN SPOT ROD, COM BASE, LED 7W 3000K 127/220V VERDE BLS;37.05;9.75;5
LM3189;;ESPETO DE JARDIM LED QAD 7W 3000K 127/220V BLS;22.99;9.75;5
LM3371;;ESPETO DE JARDIM LED FLUSH 0,5W 3000K 24V PRETO (KIT COM 2 UNIDADES) BLS;107.85;9.75;5
LM3372;;DRIVER 5W AC127V-220V, PARA ESPETO DE JARDIM LED EFEITO FLUSH 24V, IP65 BLS;88.80;9.75;5
LM3054;;LUMINARIA LED ARANDELA EMBUTIDA MICRO BORDA BRANCA, 3W, 3000K, 127V/220V IP65;43.90;9.75;5
LM3473;;LUMINARIA LED ARANDELA EMBUTIDA MICRO BORDA PRETA, 3W, 3000K, 127V/220V IP65;41.99;9.75;5
LM3099;;MOVI DETECT SENSOR PARA MOBILIA ATÉ 2 PORTAS DE SOBREPOR P LED 12V/24V BLS;43.65;9.75;5
LM3100;;MOVI TOUCH BOTÃO DE EMBUTIR P LED 12V/24V DIM/LIGA/DESLIGA BLS;27.05;9.75;5
LM3101;;MOVI HID INTERRUPTOR OCULTO C SENSOR DE PRESENÇA P LED 12V/24V DIM/LIGA/DESLIGA BLS;30.60;9.75;5
LM2464;;SENSOR DE PRESENCA PARA FITAS LED COM DIMERIZACAO;30.45;9.75;5
LM2685;;SPOT HUB LED RECUADO REDONDO 3W 3000K 127/220V BRANCO;20.80;9.75;5
LM2686;;SPOT HUB LED RECUADO REDONDO 3W 3000K 127/220V PRETO;20.80;9.75;5
LM2681;;SPOT HUB LED RECUADO REDONDO 7W 3000K 127/220V BRANCO;51.15;9.75;5
LM2682;;SPOT HUB LED RECUADO REDONDO 7W 3000K 127/220V PRETO;51.15;9.75;5
LM2683;;SPOT HUB LED RECUADO REDONDO 12W 3000K 127/220V BRANCO;75.20;9.75;5
LM2684;;SPOT HUB LED RECUADO REDONDO 12W 3000K 127/220V PRETO;75.20;9.75;5
LM3833;;SPOT HUB LED RECUADO REDONDO 16W 3000K 127/220V BRANCO;83.20;9.75;5
