referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
QTZO-PD-SL-RD80;;RED. 80 X 5 X 10CM ALT.- 70W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;5513.75;9.75;20
QTZO-PD-SL-RD80;FOLHA DE OURO;RED. 80 X 5 X 10CM ALT.- 70W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;6340.81;9.75;20
QTZO-PD-SL-RD80-2;;RED. 02 AROS (Ø80 / 60 ) X 5 X 10CM ALT.- 70W - SLIM - QUARTZO CRISTAL - PEND. 1,5M ALT.- KALEO FELSEN;;9255.28;9.75;20
QTZO-PD-SL-RD80-2;FOLHA DE OURO;RED. 02 AROS (Ø80 / 60 ) X 5 X 10CM ALT.- 70W - SLIM - QUARTZO CRISTAL - PEND. 1,5M ALT.- KALEO FELSEN;;10643.57;9.75;20
QTZO-PD-SL-SEXT60;;SEXT. 60 X 5 X 10CM ALT.- 50W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;3780.48;9.75;20
QTZO-PD-SL-SEXT60;FOLHA DE OURO;SEXT. 60 X 5 X 10CM ALT.- 50W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;4347.55;9.75;20
QTZO-PD-SL-SEXT80;;SEXT. 80 X 5 X 10CM ALT.- 70W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;4959.41;9.75;20
QTZO-PD-SL-SEXT80;FOLHA DE OURO;SEXT. 80 X 5 X 10CM ALT.- 70W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;5703.32;9.75;20
QTZO90-30PEND;;RED. 90CM X 3,0M ALT. MONT. ALEAT. - 30 PEND. QUARTZO CRISTAL PARA 30 LAMP. MINIGU10;;21098.50;9.75;20
QTZO90-30PEND;FOLHA DE OURO;RED. 90CM X 3,0M ALT. MONT. ALEAT. - 30 PEND. QUARTZO CRISTAL PARA 30 LAMP. MINIGU10;;24263.28;9.75;20
PEND-QTZO;;PEND. BASTÃO QUARTZO PARA 01 LÂMPADA MINIGU10;;848.44;9.75;20
PEND-QTZO;FOLHA DE OURO;PEND. BASTÃO QUARTZO PARA 01 LÂMPADA MINIGU10;;975.71;9.75;20
QTZO-ARA-SL-LIN100;;ARANDELA LINEAR 100 X 5CM X 18CM ALT.- 30W - SLIM - QUARTZO CRISTAL - KALEO FELSEN;;2589.13;9.75;21
QTZO-ARA-SL-LIN100;FOLHA DE OURO;ARANDELA LINEAR 100 X 5CM X 18CM ALT.- 30W - SLIM - QUARTZO CRISTAL - KALEO FELSEN;;2977.50;9.75;21
QTZO-ARA-SL-LIN80;;ARANDELA LINEAR 80 X 5CM X 18CM ALT.- 25W - SLIM - QUARTZO CRISTAL - KALEO FELSEN;;2257.93;9.75;21
QTZO-ARA-SL-LIN80;FOLHA DE OURO;ARANDELA LINEAR 80 X 5CM X 18CM ALT.- 25W - SLIM - QUARTZO CRISTAL - KALEO FELSEN;;2596.62;9.75;21
QTZO-ARA-SL-LIN60;;ARANDELA LINEAR 60 X 5CM X 18CM ALT.- 18W - SLIM - QUARTZO CRISTAL - KALEO FELSEN;;1702.10;9.75;21
QTZO-ARA-SL-LIN60;FOLHA DE OURO;ARANDELA LINEAR 60 X 5CM X 18CM ALT.- 18W - SLIM - QUARTZO CRISTAL - KALEO FELSEN;;1957.42;9.75;21
QTZO-ARA-SL-LIN100-H;;ARANDELA LINEAR 100 X 5CM X 18CM ALT.- 30W - SLIM - QUARTZO CRISTAL - S/ HASTE - KALEO FELSEN;;2526.56;9.75;21
QTZO-ARA-SL-LIN100-H;FOLHA DE OURO;ARANDELA LINEAR 100 X 5CM X 18CM ALT.- 30W - SLIM - QUARTZO CRISTAL - S/ HASTE - KALEO FELSEN;;2905.55;9.75;21
QTZO-ARA-SL-LIN80-H;;ARANDELA LINEAR 80 X 5CM X 18CM ALT.- 25W - SLIM - QUARTZO CRISTAL - S/ HASTE - KALEO FELSEN;;2195.36;9.75;21
QTZO-ARA-SL-LIN80-H;FOLHA DE OURO;ARANDELA LINEAR 80 X 5CM X 18CM ALT.- 25W - SLIM - QUARTZO CRISTAL - S/ HASTE - KALEO FELSEN;;2524.66;9.75;21
QTZO-ARA-SL-LIN60-H;;ARANDELA LINEAR 60 X 5CM X 18CM ALT.- 18W - SLIM - QUARTZO CRISTAL - S/ HASTE - KALEO FELSEN;;1639.53;9.75;21
QTZO-ARA-SL-LIN60-H;FOLHA DE OURO;ARANDELA LINEAR 60 X 5CM X 18CM ALT.- 18W - SLIM - QUARTZO CRISTAL - S/ HASTE - KALEO FELSEN;;1885.46;9.75;21
BRANCH-80-AC;;LUSTRE RED. 80CM - COR DOURADO - 08 LAMP. E14 - PENDENTE - (GALHO) - AGATA CRISTAL;;5956.72;9.75;21
BRANCH-100-AC;;LUSTRE RED. 100CM - 10 LAMP. E14 - PENDENTE - (GALHO) - AGATA CRISTAL;;8618.94;9.75;21
BRANCH-150X80-AC;;LUSTRE 150 X 80CM - 10 LAMP. E14 - PENDENTE - (GALHO) - CRISTAL AGATA CRISTAL;;13209.26;9.75;21
BRANCH-80-AZ;;LUSTRE RED. 80CM - 08 LAMP. E14 - PENDENTE - (GALHO) - AGATA AZUL;;5956.72;9.75;21
BRANCH-100-AZ;;LUSTRE RED. 100CM - 10 LAMP. E14 - PENDENTE - (GALHO) - AGATA AZUL;;8618.94;9.75;21
BRANCH-150X80-AZ;;LUSTRE 150 X 80CM - 10 LAMP. E14 - PENDENTE - (GALHO) - AGATA AZUL;;13209.26;9.75;21
BRANCH-80-LAV;;LUSTRE RED. 80CM - 08 LAMP. E14 - PENDENTE - CASTANHAS - (GALHO);ATÉ 2M DE CABO NÃO ALTERA VALOR;4813.10;9.75;21
BRANCH-100-LAV;;LUSTRE RED. 100CM - 10 LAMP. E14 - PENDENTE - CASTANHAS (GALHO);;7008.08;9.75;21
BRANCH-150X80-LAV;;LUSTRE 150 X 80CM - 10 LAMP. E14 - PENDENTE - (GALHO) - COM CASTANHAS (GALHOS);;10369.49;9.75;21
BRANCH-80;;LUSTRE RED. 80CM - 08 LAMP. E14 - PENDENTE - (GALHO);;4813.10;9.75;21
BRANCH-100;;LUSTRE RED. 100CM - 10 LAMP. E14 - PENDENTE - (GALHO);;7008.08;9.75;21
BRANCH-150X80;;LUSTRE 150 X 80CM - 10 LAMP. E14 - PENDENTE - (GALHO);;10369.49;9.75;21
BRANCH-PEND;;PENDENTE BRANCH - 50CM - DOURADO FOSCO - AMENDOA - 06 LAMP. G9 - 1,5M CABO DOURADO - (GALHO);;1470.43;9.75;21
BRANCH-80-AC-PL;;PLAFON RED. 80CM - 08 LAMP. E14 - PLAFON - (GALHO) - AGATA CRISTAL;;4800.23;9.75;22
BRANCH-100-AC-PL;;PLAFON RED. 100CM - 10 LAMP. E14 (GALHO) - AGATA CRISTAL;;6533.49;9.75;22
BRANCH-80-AZ-PL;;PLAFON RED. 80CM - 08 LAMP. E14 - PLAFON - (GALHO) - AGATA AZUL;;4800.23;9.75;22
BRANCH-100-AZ-PL;;PLAFON RED. 100CM - 10 LAMP. E14 - (GALHO) - AGATA AZUL;;6533.49;9.75;22
